D{0-1}KP 动态规划求解结果
================================================================================
实例名称: IDKP9
dimension: 2700
组数: 900
capacity: 454989
是否排序后求解: False
最优总价值: 528144
总重量: 454989
选中组数: 446
求解时间(秒): 6.049415
================================================================================

排序后序号       原始组号      选中项     重量        价值        价值重量比         
--------------------------------------------------------------------------------
2           2         3       1169      1434      1.226689      
7           7         3       878       889       1.012528      
10          10        3       1218      1384      1.136289      
11          11        3       970       1310      1.350515      
12          12        3       1348      1424      1.056380      
14          14        3       1052      1203      1.143536      
15          15        3       1346      1454      1.080238      
16          16        3       1714      1926      1.123687      
20          20        3       490       569       1.161224      
21          21        3       490       535       1.091837      
22          22        3       1541      1759      1.141467      
23          23        3       782       867       1.108696      
29          29        3       748       920       1.229947      
30          30        3       1737      1705      0.981577      
31          31        3       1336      1430      1.070359      
33          33        3       797       908       1.139272      
34          34        3       1163      1241      1.067068      
35          35        3       488       519       1.063525      
36          36        3       402       426       1.059701      
38          38        3       809       928       1.147095      
39          39        3       1116      1268      1.136201      
42          42        3       954       1040      1.090147      
44          44        3       1034      1278      1.235977      
45          45        3       1250      1319      1.055200      
48          48        3       693       908       1.310245      
51          51        3       1162      1148      0.987952      
52          52        3       1298      1333      1.026965      
61          61        3       704       727       1.032670      
62          62        3       1604      1853      1.155237      
63          63        3       1123      1169      1.040962      
67          67        3       1216      1813      1.490954      
68          68        3       1012      1033      1.020751      
69          69        3       1148      1511      1.316202      
70          70        3       1548      1600      1.033592      
71          71        3       1157      1347      1.164218      
72          72        3       776       822       1.059278      
73          73        3       559       573       1.025045      
76          76        3       967       1523      1.574974      
78          78        3       1094      1396      1.276051      
79          79        3       1310      1518      1.158779      
80          80        3       535       625       1.168224      
81          81        3       1084      1193      1.100554      
82          82        3       1029      1251      1.215743      
84          84        3       1244      1448      1.163987      
85          85        3       437       447       1.022883      
87          87        3       1320      1329      1.006818      
89          89        3       1147      1135      0.989538      
92          92        3       1257      1412      1.123309      
93          93        3       1366      1434      1.049780      
99          99        3       830       1152      1.387952      
100         100       3       1697      1688      0.994697      
109         109       3       780       885       1.134615      
114         114       3       1219      1449      1.188679      
115         115       3       399       425       1.065163      
117         117       3       675       688       1.019259      
118         118       3       500       511       1.022000      
119         119       3       1266      1361      1.075039      
120         120       3       1092      1295      1.185897      
122         122       3       1228      1399      1.139251      
126         126       3       1186      1397      1.177909      
127         127       3       1388      1829      1.317723      
130         130       3       954       1454      1.524109      
131         131       3       935       933       0.997861      
133         133       3       706       698       0.988669      
135         135       3       927       964       1.039914      
136         136       3       1235      1778      1.439676      
137         137       3       985       998       1.013198      
138         138       3       1124      1300      1.156584      
140         140       3       1323      1843      1.393046      
141         141       3       1579      1668      1.056365      
142         142       3       1081      1066      0.986124      
143         143       3       1057      1332      1.260170      
144         144       3       669       913       1.364723      
146         146       3       933       1063      1.139335      
147         147       3       909       1124      1.236524      
149         149       3       727       869       1.195323      
150         150       3       1162      1790      1.540448      
155         155       3       599       753       1.257095      
158         158       3       550       712       1.294545      
161         161       3       1196      1531      1.280100      
162         162       3       1606      1620      1.008717      
165         165       3       1381      1432      1.036930      
166         166       3       686       821       1.196793      
167         167       3       815       877       1.076074      
168         168       3       708       708       1.000000      
170         170       3       1048      1314      1.253817      
172         172       3       1023      1167      1.140762      
175         175       3       897       1297      1.445931      
177         177       3       1538      1679      1.091678      
178         178       3       1513      1805      1.192994      
181         181       3       908       1109      1.221366      
184         184       3       734       793       1.080381      
185         185       3       884       1240      1.402715      
186         186       3       740       787       1.063514      
187         187       3       830       1239      1.492771      
188         188       3       962       1020      1.060291      
190         190       3       491       491       1.000000      
191         191       3       1068      1670      1.563670      
192         192       3       1179      1474      1.250212      
195         195       3       1200      1571      1.309167      
196         196       3       544       648       1.191176      
197         197       3       944       1267      1.342161      
200         200       3       1078      1541      1.429499      
202         202       3       1603      1888      1.177792      
203         203       3       775       1078      1.390968      
204         204       3       783       1074      1.371648      
205         205       3       1003      1174      1.170489      
206         206       3       525       520       0.990476      
208         208       3       684       783       1.144737      
211         211       3       1092      1334      1.221612      
212         212       3       1186      1453      1.225126      
213         213       3       1008      1529      1.516865      
215         215       3       580       815       1.405172      
216         216       3       1348      1414      1.048961      
219         219       3       818       1104      1.349633      
221         221       3       1094      1247      1.139854      
222         222       3       1244      1388      1.115756      
226         226       3       1621      1590      0.980876      
228         228       3       1056      1205      1.141098      
230         230       3       884       1393      1.575792      
232         232       3       537       534       0.994413      
234         234       3       1344      1692      1.258929      
236         236       3       973       956       0.982528      
237         237       3       919       984       1.070729      
239         239       3       817       812       0.993880      
240         240       3       605       634       1.047934      
242         242       3       761       895       1.176084      
243         243       3       618       715       1.156958      
244         244       3       1078      1270      1.178108      
245         245       3       502       784       1.561753      
249         249       3       1044      1529      1.464559      
251         251       3       1166      1476      1.265866      
255         255       3       1035      1108      1.070531      
257         257       3       765       835       1.091503      
265         265       3       1077      1098      1.019499      
268         268       3       826       902       1.092010      
270         270       3       737       826       1.120760      
273         273       3       986       1125      1.140974      
274         274       3       523       666       1.273423      
276         276       3       383       494       1.289817      
280         280       3       857       846       0.987165      
281         281       3       674       688       1.020772      
282         282       3       1028      1256      1.221790      
283         283       3       989       1181      1.194135      
284         284       3       1063      1238      1.164628      
287         287       3       1412      1912      1.354108      
288         288       3       1299      1470      1.131640      
290         290       3       1204      1255      1.042359      
291         291       3       1279      1734      1.355747      
292         292       3       1564      1836      1.173913      
295         295       3       986       1022      1.036511      
296         296       3       1405      1733      1.233452      
298         298       3       792       916       1.156566      
302         302       3       1253      1347      1.075020      
304         304       3       1022      1109      1.085127      
306         306       3       427       486       1.138173      
310         310       3       1777      1818      1.023073      
312         312       3       1067      1098      1.029053      
314         314       3       971       996       1.025747      
316         316       3       1416      1516      1.070621      
318         318       3       1355      1472      1.086347      
319         319       3       990       1025      1.035354      
325         325       3       844       1064      1.260664      
326         326       3       717       1059      1.476987      
331         331       3       993       1180      1.188318      
332         332       3       1074      1739      1.619181      
333         333       3       1304      1802      1.381902      
336         336       3       1122      1195      1.065062      
338         338       3       862       943       1.093968      
339         339       3       1080      1396      1.292593      
340         340       3       1019      1047      1.027478      
343         343       3       675       1003      1.485926      
346         346       3       894       1246      1.393736      
349         349       3       523       566       1.082218      
