D{0-1}KP 动态规划求解结果
================================================================================
实例名称: IDKP10
dimension: 3000
组数: 1000
capacity: 496541
是否排序后求解: True
最优总价值: 581244
总重量: 496541
选中组数: 486
求解时间(秒): 7.182994
================================================================================

排序后序号       原始组号      选中项     重量        价值        价值重量比         
--------------------------------------------------------------------------------
1           556       3       1027      1787      1.740019      
2           803       3       1016      1740      1.712598      
3           857       3       1007      1710      1.698113      
4           735       3       940       1572      1.672340      
5           483       3       964       1609      1.669087      
6           991       3       914       1523      1.666302      
7           712       3       722       1194      1.653740      
8           119       3       990       1637      1.653535      
9           505       3       992       1630      1.643145      
10          344       3       1032      1689      1.636628      
11          802       3       854       1397      1.635831      
12          569       3       1084      1766      1.629151      
13          811       3       1008      1632      1.619048      
14          838       3       1153      1866      1.618387      
15          362       3       1077      1728      1.604457      
16          646       3       956       1519      1.588912      
17          411       3       655       1039      1.586260      
18          893       3       726       1139      1.568871      
19          497       3       1192      1860      1.560403      
20          943       3       1048      1634      1.559160      
21          518       3       829       1292      1.558504      
22          593       3       804       1248      1.552239      
23          354       3       972       1505      1.548354      
24          949       3       1001      1544      1.542458      
25          924       3       762       1174      1.540682      
26          860       3       1021      1566      1.533790      
27          800       3       1256      1917      1.526274      
28          390       3       782       1192      1.524297      
29          535       3       874       1330      1.521739      
30          953       3       1067      1608      1.507029      
31          202       3       1020      1535      1.504902      
32          353       3       1140      1713      1.502632      
33          387       3       1191      1787      1.500420      
34          517       3       954       1430      1.498952      
35          818       3       911       1362      1.495060      
36          256       3       875       1308      1.494857      
37          744       3       852       1270      1.490610      
38          55        3       804       1197      1.488806      
39          509       3       1134      1678      1.479718      
40          174       3       1206      1781      1.476783      
41          996       3       1219      1798      1.474979      
42          522       3       1241      1817      1.464142      
43          710       3       779       1138      1.460847      
44          666       3       1098      1599      1.456284      
45          372       3       1009      1465      1.451933      
46          513       3       734       1062      1.446866      
47          508       3       952       1369      1.438025      
48          83        3       1027      1473      1.434275      
49          120       3       1135      1626      1.432599      
50          72        3       1172      1662      1.418089      
51          909       3       1253      1776      1.417398      
52          245       3       585       827       1.413675      
53          169       3       891       1259      1.413019      
54          154       3       1091      1539      1.410632      
55          599       3       1215      1711      1.408230      
56          503       3       1136      1591      1.400528      
57          742       3       1329      1849      1.391272      
58          147       3       1200      1669      1.390833      
59          2         3       997       1385      1.389168      
60          784       3       744       1033      1.388441      
61          786       3       1122      1548      1.379679      
62          423       3       613       845       1.378467      
63          816       3       1021      1407      1.378061      
64          300       3       886       1220      1.376975      
65          810       3       834       1145      1.372902      
66          583       3       1329      1814      1.364936      
67          974       3       1165      1590      1.364807      
68          11        3       1355      1844      1.360886      
69          316       3       564       767       1.359929      
70          667       3       645       877       1.359690      
71          450       3       582       791       1.359107      
72          603       3       1123      1524      1.357079      
73          822       3       1080      1464      1.355556      
74          85        3       933       1264      1.354770      
75          254       3       1064      1438      1.351504      
76          762       3       885       1196      1.351412      
77          779       3       929       1254      1.349839      
78          429       3       1382      1865      1.349493      
79          262       3       532       717       1.347744      
80          529       3       1181      1589      1.345470      
81          228       3       814       1095      1.345209      
82          944       3       758       1016      1.340369      
83          839       3       961       1288      1.340271      
84          988       3       480       643       1.339583      
85          57        3       1054      1406      1.333966      
86          128       3       930       1234      1.326882      
87          462       3       1267      1681      1.326756      
88          605       3       895       1186      1.325140      
89          595       3       1145      1516      1.324017      
90          567       3       834       1101      1.320144      
91          651       3       1058      1394      1.317580      
92          542       3       822       1083      1.317518      
93          964       3       980       1290      1.316327      
94          758       3       717       941       1.312413      
95          222       3       372       488       1.311828      
96          41        3       1138      1492      1.311072      
97          527       3       483       633       1.310559      
98          495       3       655       858       1.309924      
99          50        3       1095      1434      1.309589      
100         488       3       1096      1435      1.309307      
101         343       3       926       1208      1.304536      
102         220       3       1131      1465      1.295314      
103         34        3       1005      1301      1.294527      
104         524       3       934       1209      1.294433      
105         867       3       1100      1422      1.292727      
106         379       3       896       1158      1.292411      
107         882       3       490       633       1.291837      
108         541       3       854       1103      1.291569      
109         939       3       1409      1819      1.290987      
110         135       3       936       1208      1.290598      
111         696       3       753       971       1.289509      
112         284       3       818       1052      1.286064      
113         87        3       1280      1645      1.285156      
114         484       3       1122      1439      1.282531      
115         196       3       980       1256      1.281633      
116         552       3       771       988       1.281453      
117         373       3       1181      1505      1.274344      
118         842       3       1096      1394      1.271898      
119         658       3       1224      1552      1.267974      
120         383       3       665       836       1.257143      
121         15        3       865       1086      1.255491      
122         914       3       723       905       1.251729      
123         95        3       716       896       1.251397      
124         237       3       1168      1461      1.250856      
125         405       3       1220      1526      1.250820      
126         660       3       1103      1378      1.249320      
127         820       3       706       882       1.249292      
128         207       3       1123      1400      1.246661      
129         984       3       1270      1582      1.245669      
130         962       3       616       767       1.245130      
131         718       3       1208      1504      1.245033      
132         122       3       928       1154      1.243534      
133         590       3       1047      1301      1.242598      
134         35        3       1060      1316      1.241509      
135         832       3       896       1112      1.241071      
136         136       3       800       992       1.240000      
137         997       3       1393      1726      1.239052      
138         464       3       913       1131      1.238773      
139         391       3       1053      1304      1.238367      
140         421       3       1022      1261      1.233855      
141         923       3       613       756       1.233279      
142         746       3       1137      1402      1.233069      
143         238       3       714       879       1.231092      
144         662       3       539       663       1.230056      
145         459       3       1011      1240      1.226508      
146         345       3       817       1002      1.226438      
147         43        3       1305      1600      1.226054      
148         279       3       1054      1291      1.224858      
149         714       3       1210      1476      1.219835      
150         61        3       830       1012      1.219277      
151         957       3       868       1058      1.218894      
152         628       3       1175      1432      1.218723      
153         717       3       1498      1824      1.217623      
154         906       3       1485      1805      1.215488      
155         18        3       1185      1440      1.215190      
156         789       3       645       783       1.213953      
157         911       3       1492      1810      1.213137      
158         504       3       344       417       1.212209      
159         84        3       962       1164      1.209979      
160         884       3       1176      1421      1.208333      
161         693       3       628       758       1.207006      
162         454       3       513       619       1.206628      
163         134       3       1414      1703      1.204385      
164         208       3       888       1069      1.203829      
165         187       3       1141      1372      1.202454      
166         843       3       926       1113      1.201944      
167         340       3       1090      1310      1.201835      
168         597       3       979       1176      1.201226      
169         305       3       1172      1404      1.197952      
170         602       3       675       808       1.197037      
171         562       3       1234      1477      1.196921      
172         989       3       815       974       1.195092      
173         172       3       1283      1530      1.192518      
174         58        3       1186      1414      1.192243      
175         241       3       834       993       1.190647      
176         56        3       1133      1347      1.188879      
177         986       3       1256      1493      1.188694      
178         672       3       1006      1195      1.187873      
179         894       3       1352      1606      1.187870      
180         296       3       528       626       1.185606      
181         330       3       577       684       1.185442      
